fire_size;fire_size_class;fire_cause;state;discovery_year;discovery_month;distance_wstation_m;vegetation_type;Temp_pre_30;Temp_pre_15;Temp_pre_7;Temp_contained;Wind_pre_30;Wind_pre_15;Wind_pre_7;Wind_contained;Hum_pre_30;Hum_pre_15;Hum_pre_7;Hum_contained;Prec_pre_30;Prec_pre_15;Prec_pre_7;Prec_contained;remoteness
1;B;Debris Burning;TX;2014;Aug;2185352727;12;2555337963;2363083333;2370555556;2152741187;2111851852;1825833333;140218254;2457189239;7454448563;7638589981;6919521912;7121706865;67.3;29.2;28.4;74.4;0.266879421
160;D;Miscellaneous;TX;2013;Aug;1136583908;12;2785613229;2629311628;2338730159;1969244755;2090904915;2153674419;235515873;307030303;51;5246790698;5805357143;667030303;87.9;87.1;87.1;64.2;0.272078889
1;B;Debris Burning;TX;2013;Aug;9237459799;12;2717714286;2623463687;2457835671;2127946927;1704824356;1731284916;1.84E+16;1.91E+16;6740655738;675707635;68749499;7415456238;114.9;58.4;37.6;101.9;0.274026034
2;B;Debris Burning;TX;2013;Aug;3198961034;12;2866555608;2713491012;2431525773;2029091356;2930971375;3063954588;3300618557;3957563851;5108728297;5279470199;5816082474;6630353635;105;105;103.2;108.4;0.273912815
1;B;Debris Burning;AR;2008;Aug;1091826503;16;2271589041;2168106509;2074244604;1725558882;2.86E+16;2165088757;0.889568345;1921478521;8093569432;7889795918;8070498084;7671812865;69.1;24.3;0.6;168.4;0.225134741
1;B;Miscellaneous;CA;2008;Aug;2.69E+16;15;1140733453;1083133117;1186229508;1086931818;2.96E+16;1805032468;1.78E+16;1835227273;8482245132;8752980132;8482110092;8.83E+15;2.4;2.1;0.3;0.3;0.533961148
5;B;Debris Burning;TX;2008;Aug;3805467388;12;2.64E+16;2556246914;2515423729;2240660475;2.97E+16;3334814815;2.90E+16;3148606811;6696501129;6060493827;6229943503;651544196;11.8;1.9;1.9;2.3;0.29356881
4;B;Missing/Undefined;TN;2008;Aug;1770119178;0;2349081633;231125;2249860724;1746503011;2418957588;2475284738;1328133705;2029485396;6933980583;6498177677;6433704735;638984701;13.8;0.3;0;122.7;0.199906755
3;B;Miscellaneous;TX;2006;Aug;2848979009;12;2553479657;2508027079;2460202429;2118845815;2262955032;2.74E+16;3.51E+16;1.95E+16;7130728051;7.43E+15;7065182186;7886419753;51.6;45.8;20.9;440.4;0.25714972
1.52;B;Debris Burning;GA;2006;Aug;5684405368;12;2527317732;2454745098;2406338028;2031382114;1.89E+16;1991568627;1636150235;1.79E+16;7805464481;7.76E+15;7633490566;6884404762;72.8;36.2;9.9;65.1;0.149301832
5;B;Missing/Undefined;KY;2004;Aug;6.34E+16;0;2208290155;2153232323;2054325956;1744520548;1.68E+16;1.70E+16;1418108652;2119031311;7313583138;7.06E+15;6618108652;688816047;1.6;0.3;0;109.2;0.197484242
6;B;Debris Burning;AR;2004;Aug;6848508698;15;2259259259;2256578947;2203571429;1792557652;1.52E+16;1454736842;1594642857;1994129979;6837804878;6630745342;6285806452;6968852459;6.2;0.3;0;92.6;0.241593041
1.4;B;Equipment Use;GA;2003;Aug;1798998289;12;2491764706;2407922705;2.41E+16;1971173653;2.36E+16;2527294686;2622065728;2342874251;7248959608;6923399015;7392822967;7128571429;63.4;52.5;52.5;64.7;0.160920716
10547;G;Equipment Use;SD;2001;Aug;4.27E+16;9;1407162921;1182913165;1.27E+16;1559638554;3137903226;3.02E+16;298057554;2772151899;5446167558;597804878;5319117647;4987974684;14.2;8.3;0.6;0;0.161468506
4;B;Miscellaneous;OK;2001;Aug;5.39E+15;16;2256091954;2099583333;1956612022;1683939394;2331483871;2033068783;2242372881;3319628647;7836514523;7766184971;7842763158;7050928793;195.8;42.2;28.7;60.6;0.255657995
4950;F;Lightning;MT;2001;Aug;3.54E+16;9;1592367021;1438149171;1467380952;1094767442;27888;2.32E+16;2474404762;2482798834;5066032609;5218333333;44125;5030678466;12.3;1.1;0;2.3;0.020015699
3.1;B;Debris Burning;AL;2000;Aug;8300535466;12;2322461538;2265862069;2363690476;17765625;2613405239;2439310345;1.91E+16;2.46E+16;7633164129;7181467181;8219708029;6146932953;180.7;76;76;46.2;0.165975611
10;C;Debris Burning;TX;2000;Aug;3.91E+16;12;2683938547;2430726257;2435329341;1813764045;261773743;2.96E+16;3.75E+16;2140449438;6405846154;6718238994;740472973;67.43;43.5;43.5;43.2;56;0.245201596
15;C;Arson;MS;2000;Aug;2989090527;12;2602179863;2539071146;2595928854;1906289825;3.01E+16;2.85E+16;27456;2698136646;7912409514;7818550107;8293043478;6826850829;137.4;26.9;6.1;29;0.195340789
